semester_code,department,course_id,section,course_name,target_unit,grade_level,course_type,credits,cutoff_weight,year_roc,semester,year_ad,semester_ordinal,course_key,prev_1_weight,prev_2_weight,avg_weight_3sem,avg_weight_all,weight_volatility,semesters_offered,weight_trend,is_required,dept_cluster,popularity_tier,oversubscription_ratio,domain_category,prev_1_oversub_ratio,prev_2_oversub_ratio,avg_oversub_ratio_3sem,prev_1_remaining_spots,demand_trend,instructor_avg_cutoff,instructor_course_count,is_prime_time,num_time_slots
1092,一般通識組,00000586,,風險管理與校園危機防範,B00-一般通識組1,1,選修,2.0,0.0,109,2,2020,17,00000586||B00-一般通識組1,30.0,15.0,32.0,47.2,32.35274331490299,6,-10.5,0,通識,very_high,0.9833333333333332,社會科學領域,,,,,,39.0,4.0,1.0,2.0
1092,體育教學組,0099PE06,A,體育-籃球,B99-體育教學組1,1,必修,0.0,12.0,109,2,2020,17,0099PE06|A|B99-體育教學組1,10.0,1.0,3.6666666666666665,2.75,4.856267428111155,5,3.1,1,體育,medium,1.0,體育,,,,,,0.0,1.0,1.0,2.0
1101,體育教學組,0099PE05,C,體育-排球,B99-體育教學組1,1,必修,0.0,7.0,110,1,2021,18,0099PE05|C|B99-體育教學組1,3.0,0.0,2.0,1.5,1.7320508075688772,5,0.6,1,體育,low,1.0166666666666666,體育,0.9666666666666668,0.9833333333333332,0.975,2.0,-0.016666666666666385,15.266666666666667,8.0,0.0,2.0
1101,一般通識組,00000402,,全球化與人類安全,B00-一般通識組1,1,選修,2.0,3.0,110,1,2021,18,00000402||B00-一般通識組1,0.0,,0.0,0.0,,2,,0,通識,medium,1.0,社會科學領域,1.0,,1.0,0.0,,0.0,2.0,0.0,2.0
1101,一般通識組,00000817,,荀子與德行,B00-一般通識組1,1,選修,2.0,0.0,110,1,2021,18,00000817||B00-一般通識組1,0.0,,0.0,0.0,,2,,0,通識,low,1.0,經典閱讀課程,1.0,,1.0,0.0,,0.0,1.0,1.0,2.0
1101,一般通識組,00000762,,運動訓練與指導,B00-一般通識組1,1,選修,2.0,6.0,110,1,2021,18,00000762||B00-一般通識組1,1.0,18.0,9.5,9.5,12.020815280171307,3,-17.0,0,通識,high,0.975,科學與邏輯思維領域,1.0,,1.0,0.0,,20.0,2.0,1.0,2.0
1101,一般通識組,00000750,C,人工智慧導論,B00-一般通識組1,1,必修,2.0,5.0,110,1,2021,18,00000750|C|B00-一般通識組1,32.0,0.0,16.0,16.0,22.627416997969522,3,32.0,1,通識,low,0.98,N/A,1.18,0.985,1.0825,2.0,0.19499999999999995,,,0.0,2.0
1101,保健營養學系,00070271,,保健食品開發,B06A-保健學系3,3,選修,2.0,4.0,110,1,2021,18,00070271||B06A-保健學系3,0.0,49.0,42.0,44.0,22.671568097509265,9,-9.600000000000001,0,營養保健,very_high,1.0277777777777777,N/A,0.8888888888888888,,0.8888888888888888,4.0,,0.0,1.0,1.0,2.0
1101,一般通識組,00000414,,夢的解析,B00-一般通識組1,1,選修,2.0,27.0,110,1,2021,18,00000414||B00-一般通識組1,17.0,1.0,36.333333333333336,59.8235294117647,27.427712477797087,18,-23.700000000000003,0,通識,very_high,0.9,經典閱讀課程,1.0,1.0,1.0,0.0,0.0,4.5,2.0,1.0,2.0
1101,語言中心組,00970015,,西方當代文化思潮,B97-語言中心組1,1,選修,2.0,35.0,110,1,2021,18,00970015||B97-語言中心組1,,,,,,1,,0,其他,very_high,1.0,外語領域,,,,,,24.5,2.0,0.0,2.0
1101,體育教學組,0099PE06,A,體育-籃球,B99-體育教學組1,1,必修,0.0,15.0,110,1,2021,18,0099PE06|A|B99-體育教學組1,12.0,10.0,7.666666666666667,4.6,5.8991524815010505,6,3.4000000000000004,1,體育,medium,1.05,體育,1.0,,1.0,0.0,,4.8,5.0,1.0,2.0
1101,一般通識組,00000756,,規訓與懲罰：當代主體的消逝,B00-一般通識組1,1,選修,2.0,22.0,110,1,2021,18,00000756||B00-一般通識組1,42.0,,42.0,42.0,,2,,0,通識,medium,0.9333333333333332,經典閱讀課程,0.9333333333333332,,0.9333333333333332,5.0,,11.25,3.0,0.0,2.0
1101,一般通識組,00000838,,劇本寫作工作坊,B00-一般通識組1,1,選修,1.0,6.0,110,1,2021,18,00000838||B00-一般通識組1,,,,,,1,,0,通識,medium,0.8666666666666667,自由領域,,,,,,32.75,3.0,,
1101,一般通識組,00000406,,論語與現代社會,B00-一般通識組1,1,選修,2.0,12.0,110,1,2021,18,00000406||B00-一般通識組1,25.0,56.0,46.0,39.5,18.322507626258087,9,-3.3000000000000003,0,通識,very_high,0.9555555555555556,經典閱讀課程,,,,,,28.7,8.0,1.0,2.0
1101,語言中心組,00970011,,韓文(一),B97-語言中心組1,1,選修,2.0,49.0,110,1,2021,18,00970011||B97-語言中心組1,37.0,30.0,32.333333333333336,46.0,16.57709262808168,7,-8.6,0,其他,very_high,1.08,外語領域,1.12,,1.12,0.0,,18.5,2.0,1.0,2.0
1101,一般通識組,00000750,A,人工智慧導論,B00-一般通識組1,1,必修,2.0,22.0,110,1,2021,18,00000750|A|B00-一般通識組1,,,,,,1,,1,通識,high,0.98,N/A,,,,,,,,0.0,2.0
1101,醫學院學士班共同整合課程,Z0100003,,睡眠：從基礎到臨床,Z01-醫學院學士共同3,3,選修,1.0,3.0,110,1,2021,18,Z0100003||Z01-醫學院學士共同3,,,,,,1,,0,醫學相關,low,1.0,N/A,,,,,,,,,
1101,口腔衛生學系,00280090,,普通心理學,B28-口衛學系1,1,選修,2.0,0.0,110,1,2021,18,00280090||B28-口衛學系1,,,,,,1,,0,口腔醫學,low,1.0,N/A,,,,,,,,0.0,2.0
1101,醫務管理學系,00090099,,統計軟體應用,B082-醫管學系3,3,選修,2.0,0.0,110,1,2021,18,00090099||B082-醫管學系3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5773502691896258,4,-0.5,0,管理,low,0.7567567567567568,N/A,0.5675675675675675,,0.5675675675675675,16.0,,0.0,1.0,0.0,2.0
1101,研究所共同課程,A0030001,C,研究倫理,A00-研究所共同課程 1,1,必修,0.0,0.0,110,1,2021,18,A0030001|C|A00-研究所共同課程 1,0.0,0.0,6.666666666666667,6.666666666666667,11.547005383792516,4,-10.0,1,其他,very_high,0.9411764705882352,N/A,0.9176470588235294,,0.9176470588235294,2.0,,0.0,1.0,,
1101,體育教學組,0099PE06,B,體育-籃球,B99-體育教學組1,1,必修,0.0,8.0,110,1,2021,18,0099PE06|B|B99-體育教學組1,1.0,1.0,1.0,1.0,0.0,3,0.0,1,體育,medium,1.05,體育,1.0,,1.0,0.0,,4.8,5.0,1.0,2.0
1101,語言中心組,00000096,B,日文(一),B97-語言中心組1,1,選修,2.0,32.0,110,1,2021,18,00000096|B|B97-語言中心組1,0.0,27.0,18.0,24.1,13.436682791688,11,-7.6000000000000005,0,其他,high,1.1,外語領域,0.975,,0.975,4.0,,3.3333333333333335,2.0,1.0,2.0
1101,醫務管理學系,00090128,,醫務管理生涯規劃,B082-醫管學系3,3,選修,2.0,19.0,110,1,2021,18,00090128||B082-醫管學系3,21.0,,21.0,21.0,,2,,0,管理,high,1.0,N/A,1.0,,1.0,0.0,,20.5,2.0,0.0,2.0
